WINNER,Tournament,Total
Adriano Panatta,Australian Open,
Albert Costa,Australian Open,
Alejandro Olmedo,Australian Open,
Alex Olmedo,Australian Open,1
Andre Agassi,Australian Open,4
Andres Gimeno,Australian Open,
Andres Gomez,Australian Open,
Andy Murray,Australian Open,
Andy Roddick,Australian Open,
Arthur Ashe,Australian Open,1
Arthur Larsen,Australian Open,
Ashley J. Cooper,Australian Open,2
Bill Bowrey,Australian Open,1
Bjorn Borg,Australian Open,
Boris Becker,Australian Open,2
Brian Teacher,Australian Open,1
Budge Patty,Australian Open,
C.R. McKinley,Australian Open,
Carlos Alcaraz,Australian Open,
Carlos Moya,Australian Open,
Daniil Medvedev,Australian Open,
Dick Savitt,Australian Open,1
Dominic Thiem,Australian Open,
E. Victor Seixas Jr.,Australian Open,
Frank Sedgman,Australian Open,1
Fred Stolle,Australian Open,
Gaston Gaudio,Australian Open,
Goran Ivanisevic,Australian Open,
Guillermo Vilas,Australian Open,2
Gustavo Kuerten,Australian Open,
Ilie Nastase,Australian Open,
Ivan Lendl,Australian Open,2
J.E. Patty,Australian Open,
Jan Kodes,Australian Open,
Jaroslav Drobny,Australian Open,
Jim Courier,Australian Open,2
Jimmy Connors,Australian Open,1
Johan Kriek,Australian Open,2
John McEnroe,Australian Open,
John Newcombe,Australian Open,2
Juan Carlos Ferrero,Australian Open,
Juan Martin del Potro,Australian Open,
Ken McGregor,Australian Open,1
Ken Rosewall,Australian Open,4
Lewis Hoad,Australian Open,1
Lleyton Hewitt,Australian Open,
Malcolm J. Anderson,Australian Open,
Manuel Orantes,Australian Open,
Manuel Santana,Australian Open,
Marat Safin,Australian Open,1
Marin Cilic,Australian Open,
Mark Edmondson,Australian Open,1
Mats Wilander,Australian Open,3
Mervyn Rose,Australian Open,1
Michael Chang,Australian Open,
Michael Stich,Australian Open,
Neale Fraser,Australian Open,
Nicola Pietrangeli,Australian Open,
Novak Djokovic,Australian Open,10
Pat Cash,Australian Open,
Patrick Rafter,Australian Open,
Pete Sampras,Australian Open,2
Petr Korda,Australian Open,1
R. Savitt,Australian Open,
Rafael Nadal,Australian Open,2
Rafael Osuna,Australian Open,
Richard Krajicek,Australian Open,
Rod Laver,Australian Open,3
Roger Federer,Australian Open,6
Roscoe Tanner,Australian Open,
Roy Emerson,Australian Open,6
Sergi Bruguera,Australian Open,
Stan Smith,Australian Open,
Stan Wawrinka,Australian Open,1
Stefan Edberg,Australian Open,2
Sven Davidson,Australian Open,
Thomas Johannson,Australian Open,1
Thomas Muster,Australian Open,
Tony Roche,Australian Open,
Tony Trabert,Australian Open,
Vitas Gerulaitis,Australian Open,
Yannick Noah,Australian Open,
Yevgeny Kafelnikov,Australian Open,1
Adriano Panatta,French Open,1
Albert Costa,French Open,1
Alejandro Olmedo,French Open,
Alex Olmedo,French Open,
Andre Agassi,French Open,1
Andres Gimeno,French Open,1
Andres Gomez,French Open,1
Andy Murray,French Open,
Andy Roddick,French Open,
Arthur Ashe,French Open,
Arthur Larsen,French Open,
Ashley J. Cooper,French Open,
Bill Bowrey,French Open,
Bjorn Borg,French Open,6
Boris Becker,French Open,
Brian Teacher,French Open,
Budge Patty,French Open,1
C.R. McKinley,French Open,
Carlos Alcaraz,French Open,
Carlos Moya,French Open,1
Daniil Medvedev,French Open,
Dick Savitt,French Open,
Dominic Thiem,French Open,
E. Victor Seixas Jr.,French Open,
Frank Sedgman,French Open,
Fred Stolle,French Open,1
Gaston Gaudio,French Open,1
Goran Ivanisevic,French Open,
Guillermo Vilas,French Open,1
Gustavo Kuerten,French Open,3
Ilie Nastase,French Open,1
Ivan Lendl,French Open,3
J.E. Patty,French Open,
Jan Kodes,French Open,2
Jaroslav Drobny,French Open,2
Jim Courier,French Open,2
Jimmy Connors,French Open,
Johan Kriek,French Open,
John McEnroe,French Open,
John Newcombe,French Open,
Juan Carlos Ferrero,French Open,1
Juan Martin del Potro,French Open,
Ken McGregor,French Open,
Ken Rosewall,French Open,2
Lewis Hoad,French Open,1
Lleyton Hewitt,French Open,
Malcolm J. Anderson,French Open,
Manuel Orantes,French Open,
Manuel Santana,French Open,2
Marat Safin,French Open,
Marin Cilic,French Open,
Mark Edmondson,French Open,
Mats Wilander,French Open,3
Mervyn Rose,French Open,1
Michael Chang,French Open,1
Michael Stich,French Open,
Neale Fraser,French Open,
Nicola Pietrangeli,French Open,2
Novak Djokovic,French Open,3
Pat Cash,French Open,
Patrick Rafter,French Open,
Pete Sampras,French Open,
Petr Korda,French Open,
R. Savitt,French Open,
Rafael Nadal,French Open,14
Rafael Osuna,French Open,
Richard Krajicek,French Open,
Rod Laver,French Open,2
Roger Federer,French Open,1
Roscoe Tanner,French Open,
Roy Emerson,French Open,2
Sergi Bruguera,French Open,2
Stan Smith,French Open,
Stan Wawrinka,French Open,1
Stefan Edberg,French Open,
Sven Davidson,French Open,1
Thomas Johannson,French Open,
Thomas Muster,French Open,1
Tony Roche,French Open,1
Tony Trabert,French Open,2
Vitas Gerulaitis,French Open,
Yannick Noah,French Open,1
Yevgeny Kafelnikov,French Open,1
Adriano Panatta,Wimbledon,
Albert Costa,Wimbledon,
Alejandro Olmedo,Wimbledon,1
Alex Olmedo,Wimbledon,
Andre Agassi,Wimbledon,1
Andres Gimeno,Wimbledon,
Andres Gomez,Wimbledon,
Andy Murray,Wimbledon,2
Andy Roddick,Wimbledon,
Arthur Ashe,Wimbledon,1
Arthur Larsen,Wimbledon,
Ashley J. Cooper,Wimbledon,1
Bill Bowrey,Wimbledon,
Bjorn Borg,Wimbledon,5
Boris Becker,Wimbledon,3
Brian Teacher,Wimbledon,
Budge Patty,Wimbledon,
C.R. McKinley,Wimbledon,1
Carlos Alcaraz,Wimbledon,1
Carlos Moya,Wimbledon,
Daniil Medvedev,Wimbledon,
Dick Savitt,Wimbledon,
Dominic Thiem,Wimbledon,
E. Victor Seixas Jr.,Wimbledon,1
Frank Sedgman,Wimbledon,1
Fred Stolle,Wimbledon,
Gaston Gaudio,Wimbledon,
Goran Ivanisevic,Wimbledon,1
Guillermo Vilas,Wimbledon,
Gustavo Kuerten,Wimbledon,
Ilie Nastase,Wimbledon,
Ivan Lendl,Wimbledon,
J.E. Patty,Wimbledon,1
Jan Kodes,Wimbledon,1
Jaroslav Drobny,Wimbledon,1
Jim Courier,Wimbledon,
Jimmy Connors,Wimbledon,2
Johan Kriek,Wimbledon,
John McEnroe,Wimbledon,3
John Newcombe,Wimbledon,3
Juan Carlos Ferrero,Wimbledon,
Juan Martin del Potro,Wimbledon,
Ken McGregor,Wimbledon,
Ken Rosewall,Wimbledon,
Lewis Hoad,Wimbledon,2
Lleyton Hewitt,Wimbledon,1
Malcolm J. Anderson,Wimbledon,
Manuel Orantes,Wimbledon,
Manuel Santana,Wimbledon,1
Marat Safin,Wimbledon,
Marin Cilic,Wimbledon,
Mark Edmondson,Wimbledon,
Mats Wilander,Wimbledon,
Mervyn Rose,Wimbledon,
Michael Chang,Wimbledon,
Michael Stich,Wimbledon,1
Neale Fraser,Wimbledon,1
Nicola Pietrangeli,Wimbledon,
Novak Djokovic,Wimbledon,7
Pat Cash,Wimbledon,1
Patrick Rafter,Wimbledon,
Pete Sampras,Wimbledon,7
Petr Korda,Wimbledon,
R. Savitt,Wimbledon,1
Rafael Nadal,Wimbledon,2
Rafael Osuna,Wimbledon,
Richard Krajicek,Wimbledon,1
Rod Laver,Wimbledon,4
Roger Federer,Wimbledon,8
Roscoe Tanner,Wimbledon,
Roy Emerson,Wimbledon,2
Sergi Bruguera,Wimbledon,
Stan Smith,Wimbledon,1
Stan Wawrinka,Wimbledon,
Stefan Edberg,Wimbledon,2
Sven Davidson,Wimbledon,
Thomas Johannson,Wimbledon,
Thomas Muster,Wimbledon,
Tony Roche,Wimbledon,
Tony Trabert,Wimbledon,1
Vitas Gerulaitis,Wimbledon,
Yannick Noah,Wimbledon,
Yevgeny Kafelnikov,Wimbledon,
Adriano Panatta,US Open,
Albert Costa,US Open,
Alejandro Olmedo,US Open,
Alex Olmedo,US Open,
Andre Agassi,US Open,2
Andres Gimeno,US Open,
Andres Gomez,US Open,
Andy Murray,US Open,1
Andy Roddick,US Open,1
Arthur Ashe,US Open,1
Arthur Larsen,US Open,1
Ashley J. Cooper,US Open,1
Bill Bowrey,US Open,
Bjorn Borg,US Open,
Boris Becker,US Open,1
Brian Teacher,US Open,
Budge Patty,US Open,
C.R. McKinley,US Open,
Carlos Alcaraz,US Open,1
Carlos Moya,US Open,
Daniil Medvedev,US Open,1
Dick Savitt,US Open,
Dominic Thiem,US Open,1
E. Victor Seixas Jr.,US Open,1
Frank Sedgman,US Open,2
Fred Stolle,US Open,1
Gaston Gaudio,US Open,
Goran Ivanisevic,US Open,
Guillermo Vilas,US Open,1
Gustavo Kuerten,US Open,
Ilie Nastase,US Open,1
Ivan Lendl,US Open,3
J.E. Patty,US Open,
Jan Kodes,US Open,
Jaroslav Drobny,US Open,
Jim Courier,US Open,
Jimmy Connors,US Open,5
Johan Kriek,US Open,
John McEnroe,US Open,4
John Newcombe,US Open,2
Juan Carlos Ferrero,US Open,
Juan Martin del Potro,US Open,1
Ken McGregor,US Open,
Ken Rosewall,US Open,2
Lewis Hoad,US Open,
Lleyton Hewitt,US Open,1
Malcolm J. Anderson,US Open,1
Manuel Orantes,US Open,1
Manuel Santana,US Open,1
Marat Safin,US Open,1
Marin Cilic,US Open,1
Mark Edmondson,US Open,
Mats Wilander,US Open,1
Mervyn Rose,US Open,
Michael Chang,US Open,
Michael Stich,US Open,
Neale Fraser,US Open,2
Nicola Pietrangeli,US Open,
Novak Djokovic,US Open,4
Pat Cash,US Open,
Patrick Rafter,US Open,2
Pete Sampras,US Open,5
Petr Korda,US Open,
R. Savitt,US Open,
Rafael Nadal,US Open,4
Rafael Osuna,US Open,1
Richard Krajicek,US Open,
Rod Laver,US Open,2
Roger Federer,US Open,5
Roscoe Tanner,US Open,
Roy Emerson,US Open,2
Sergi Bruguera,US Open,
Stan Smith,US Open,1
Stan Wawrinka,US Open,1
Stefan Edberg,US Open,2
Sven Davidson,US Open,
Thomas Johannson,US Open,
Thomas Muster,US Open,
Tony Roche,US Open,
Tony Trabert,US Open,2
Vitas Gerulaitis,US Open,
Yannick Noah,US Open,
Yevgeny Kafelnikov,US Open,
Adriano Panatta,Grand,1
Albert Costa,Grand,1
Alejandro Olmedo,Grand,1
Alex Olmedo,Grand,1
Andre Agassi,Grand,8
Andres Gimeno,Grand,1
Andres Gomez,Grand,1
Andy Murray,Grand,3
Andy Roddick,Grand,1
Arthur Ashe,Grand,3
Arthur Larsen,Grand,1
Ashley J. Cooper,Grand,4
Bill Bowrey,Grand,1
Bjorn Borg,Grand,11
Boris Becker,Grand,6
Brian Teacher,Grand,1
Budge Patty,Grand,1
C.R. McKinley,Grand,1
Carlos Alcaraz,Grand,2
Carlos Moya,Grand,1
Daniil Medvedev,Grand,1
Dick Savitt,Grand,1
Dominic Thiem,Grand,1
E. Victor Seixas Jr.,Grand,2
Frank Sedgman,Grand,4
Fred Stolle,Grand,2
Gaston Gaudio,Grand,1
Goran Ivanisevic,Grand,1
Guillermo Vilas,Grand,4
Gustavo Kuerten,Grand,3
Ilie Nastase,Grand,2
Ivan Lendl,Grand,8
J.E. Patty,Grand,1
Jan Kodes,Grand,3
Jaroslav Drobny,Grand,3
Jim Courier,Grand,4
Jimmy Connors,Grand,8
Johan Kriek,Grand,2
John McEnroe,Grand,7
John Newcombe,Grand,7
Juan Carlos Ferrero,Grand,1
Juan Martin del Potro,Grand,1
Ken McGregor,Grand,1
Ken Rosewall,Grand,8
Lewis Hoad,Grand,4
Lleyton Hewitt,Grand,2
Malcolm J. Anderson,Grand,1
Manuel Orantes,Grand,1
Manuel Santana,Grand,4
Marat Safin,Grand,2
Marin Cilic,Grand,1
Mark Edmondson,Grand,1
Mats Wilander,Grand,7
Mervyn Rose,Grand,2
Michael Chang,Grand,1
Michael Stich,Grand,1
Neale Fraser,Grand,3
Nicola Pietrangeli,Grand,2
Novak Djokovic,Grand,24
Pat Cash,Grand,1
Patrick Rafter,Grand,2
Pete Sampras,Grand,14
Petr Korda,Grand,1
R. Savitt,Grand,1
Rafael Nadal,Grand,22
Rafael Osuna,Grand,1
Richard Krajicek,Grand,1
Rod Laver,Grand,11
Roger Federer,Grand,20
Roscoe Tanner,Grand,1
Roy Emerson,Grand,12
Sergi Bruguera,Grand,2
Stan Smith,Grand,2
Stan Wawrinka,Grand,3
Stefan Edberg,Grand,6
Sven Davidson,Grand,1
Thomas Johannson,Grand,1
Thomas Muster,Grand,1
Tony Roche,Grand,1
Tony Trabert,Grand,5
Vitas Gerulaitis,Grand,1
Yannick Noah,Grand,1
Yevgeny Kafelnikov,Grand,2